Dataset,KMeans Silhouette,Hierarchical Silhouette,DBSCAN Silhouette,Best Algorithm
Financial Profile,0.3534667481857574,0.3427882370606225,0.42214299326368393,DBSCAN
Risk Profile,0.44669578426974804,0.6104953310703601,0.5763928353376511,Hierarchical
Daily Returns Correlation,0.24404140667194443,0.28586634051669324,0.25721991055051713,Hierarchical
